KOD_ZSJ_P;hour;day;users
43;6;workday;1378
43;7;workday;1285
43;8;workday;1175
43;9;workday;1118
43;10;workday;1100
43;11;workday;982
43;12;workday;977
43;13;workday;983
43;14;workday;972
43;15;workday;968
43;16;workday;1204
43;17;workday;1274
43;18;workday;1354
43;19;workday;1444
43;20;workday;1497
43;21;workday;1496
43;22;workday;1489
43;23;workday;1488
43;6;weekend;1488
43;7;weekend;1493
43;8;weekend;1487
43;9;weekend;1442
43;10;weekend;1441
43;11;weekend;1500
43;12;weekend;1468
43;13;weekend;1475
43;14;weekend;1432
43;15;weekend;1497
43;16;weekend;1498
43;17;weekend;1477
43;18;weekend;1440
43;19;weekend;1498
43;20;weekend;1535
43;21;weekend;1538
43;22;weekend;1565
43;23;weekend;1530
698;6;workday;1404
698;7;workday;1313
698;8;workday;1209
698;9;workday;1126
698;10;workday;1084
698;11;workday;1028
698;12;workday;943
698;13;workday;915
698;14;workday;967
698;15;workday;961
698;16;workday;1122
698;17;workday;1215
698;18;workday;1301
698;19;workday;1385
698;20;workday;1444
698;21;workday;1404
698;22;workday;1392
698;23;workday;1360
698;6;weekend;1386
698;7;weekend;1411
698;8;weekend;1460
698;9;weekend;1466
698;10;weekend;1552
698;11;weekend;1515
698;12;weekend;1513
698;13;weekend;1522
698;14;weekend;1562
698;15;weekend;1531
698;16;weekend;1556
698;17;weekend;1514
698;18;weekend;1485
698;19;weekend;1521
698;20;weekend;1533
698;21;weekend;1520
698;22;weekend;1504
698;23;weekend;1507
701;6;workday;475
701;7;workday;453
701;8;workday;400
701;9;workday;384
701;10;workday;377
701;11;workday;364
701;12;workday;349
701;13;workday;334
701;14;workday;329
701;15;workday;345
701;16;workday;420
701;17;workday;433
701;18;workday;450
701;19;workday;478
701;20;workday;490
701;21;workday;494
701;22;workday;490
701;23;workday;482
701;6;weekend;500
701;7;weekend;510
701;8;weekend;523
701;9;weekend;525
701;10;weekend;535
701;11;weekend;522
701;12;weekend;538
701;13;weekend;531
701;14;weekend;521
701;15;weekend;504
701;16;weekend;504
701;17;weekend;513
701;18;weekend;526
701;19;weekend;517
701;20;weekend;521
701;21;weekend;514
701;22;weekend;522
701;23;weekend;526
1384;6;workday;1138
1384;7;workday;1159
1384;8;workday;1103
1384;9;workday;1011
1384;10;workday;957
1384;11;workday;928
1384;12;workday;879
1384;13;workday;932
1384;14;workday;981
1384;15;workday;1094
1384;16;workday;1216
1384;17;workday;1273
1384;18;workday;1254
1384;19;workday;1191
1384;20;workday;1094
1384;21;workday;1051
1384;22;workday;1031
1384;23;workday;978
1384;6;weekend;983
1384;7;weekend;1038
1384;8;weekend;1068
1384;9;weekend;1187
1384;10;weekend;1149
1384;11;weekend;1116
1384;12;weekend;1148
1384;13;weekend;1132
1384;14;weekend;1168
1384;15;weekend;1134
1384;16;weekend;1119
1384;17;weekend;1140
1384;18;weekend;1158
1384;19;weekend;1096
1384;20;weekend;1028
1384;21;weekend;1012
1384;22;weekend;960
1384;23;weekend;957
4553;6;workday;5664
4553;7;workday;5261
4553;8;workday;4424
4553;9;workday;3841
4553;10;workday;3783
4553;11;workday;3500
4553;12;workday;3405
